PINS,102.32,4/17/2019,,,,,,,
PINS,101.73,4/16/2019,,,,,,,
PINS,102.34,4/15/2019,,,,,,,
PINS,104.88,4/12/2019,,,,,,,
PINS,97.03,4/11/2019,,,,,,,
PINS,97.51,4/10/2019,,,,,,,
PINS,99.66,4/9/2019,,,,,,,
PINS,98.98,4/8/2019,,,,,,,
PINS,98.83,4/5/2019,,,,,,,
PINS,100.13,4/4/2019,,,,,,,
PINS,98.59,4/3/2019,,,,,,,
PINS,99.04,4/2/2019,,,,,,,
